time,roll,pitch,yaw
0.0261,-17.0815,-18.2529,154.5708
0.0392,-17.0029,-17.5396,155.1706
0.0526,-17.0219,-17.9763,154.8256
0.0668,-15.5769,-18.2394,155.6445
0.0845,-15.4329,-16.9803,156.7278
0.1018,-15.1357,-17.4132,156.5995
0.1193,-18.6702,-23.4363,149.2993
0.1369,-17.4727,-21.8739,151.4130
0.1544,-16.3245,-19.6471,154.0085
0.1719,-17.1334,-16.6414,155.7414
0.1902,-14.8150,-18.3188,156.0978
0.2080,-16.1197,-19.8652,153.9719
0.2268,-16.8641,-20.2190,153.1777
0.2446,-15.7899,-21.8956,152.5070
0.2630,-16.5525,-18.7286,154.5797
0.2811,-17.3158,-15.9505,156.1026
0.2997,-16.0759,-18.2083,155.3222
0.3176,-16.0800,-21.3822,152.7505
0.3390,-17.2486,-21.8246,151.6058
0.3578,-17.7426,-20.8310,152.0745
0.3759,-15.9888,-18.8121,154.9066
0.3948,-16.3278,-19.0678,154.4690
0.4123,-16.7171,-19.8656,153.5631
0.4307,-16.0468,-20.4475,153.5458
0.4486,-16.3949,-20.4859,153.2811
0.4670,-16.8210,-18.1254,154.8569
0.4848,-16.8128,-18.4780,154.5905
0.5033,-17.0051,-20.1183,153.1609
0.5223,-15.9445,-20.1634,153.8468
0.5411,-17.9734,-19.8671,152.6754
0.5600,-16.8222,-21.7824,151.9273
0.5782,-15.3728,-21.5334,153.0786
0.5976,-17.1000,-17.7659,154.9285
0.6160,-17.1302,-19.2744,153.7429
0.6348,-15.4375,-19.1052,155.0466
0.6533,-16.4594,-19.8010,153.7923
0.6723,-16.7043,-21.4439,152.2864
0.6906,-16.1388,-19.5347,154.2258
0.7090,-17.7502,-20.1182,152.6373
0.7292,-16.3263,-19.2174,154.3511
0.7470,-17.1462,-19.2857,153.7227
0.7656,-15.1548,-21.6034,153.1566
0.7835,-15.9184,-19.8083,154.1538
0.8022,-19.2567,-19.8471,151.7496
0.8203,-14.9569,-21.4247,153.4321
0.8386,-16.9445,-19.8935,153.3830
0.8564,-19.0110,-20.1293,151.7147
0.8750,-14.5970,-22.4974,152.7303
0.8932,-16.9987,-20.1470,153.1424
0.9117,-17.3998,-17.8077,154.6766
0.9304,-14.9743,-20.2712,154.3925
0.9490,-17.1629,-18.7422,154.1348
0.9672,-17.5118,-19.0445,153.6493
0.9851,-13.8782,-23.4237,152.3361
1.0034,-17.1680,-22.7746,150.8692
1.0211,-16.0625,-19.7675,154.0897
1.0398,-16.8546,-18.5800,154.4815
1.0575,-15.5599,-19.7036,154.4787
1.0756,-16.1501,-19.4624,154.2762
1.0940,-16.3904,-20.9601,152.8953
1.1125,-17.2803,-22.9890,150.6146
1.1308,-16.2037,-21.5065,152.5659
1.1493,-15.6254,-19.9543,154.2302
1.1676,-16.8134,-18.1710,154.8273
1.1857,-16.4434,-18.9350,154.4937
1.2042,-16.4810,-20.5341,153.1837
1.2224,-15.6655,-22.6662,151.9302
1.2418,-15.6231,-20.4352,153.8359
1.2628,-14.9084,-20.1172,154.5630
1.2806,-19.1672,-18.0556,153.1595
1.3025,-17.2757,-21.5866,151.7833
1.3254,-16.2974,-19.1310,154.4399
1.3502,-16.4786,-20.3605,153.3267
1.3725,-15.6456,-21.4029,153.0147
1.3973,-17.9009,-17.2542,154.7133
1.4208,-17.3258,-23.4504,150.1952
1.4489,-16.2173,-20.6782,153.2427
1.4759,-15.9459,-20.2395,153.7836
1.5099,-14.8033,-21.8717,153.1454
1.5348,-16.7108,-19.3466,153.9812
1.5570,-16.2195,-19.4551,154.2346
1.5821,-17.9730,-19.8207,152.7120
1.6065,-14.9816,-22.1393,152.8063
1.6313,-18.9786,-19.1757,152.4690
1.6555,-15.3295,-22.0408,152.6749
1.6804,-17.1238,-22.1823,151.3935
1.7058,-15.0291,-22.7490,152.2516
1.7290,-17.3237,-19.7523,153.2293
1.7550,-16.1023,-21.4389,152.6886
1.7776,-15.7576,-18.9512,154.9541
1.8026,-16.2186,-22.2466,151.9351
1.8268,-16.0999,-19.3425,154.4068
1.8510,-15.2999,-18.9099,155.2967
1.8763,-14.0248,-21.7468,153.7222
1.9006,-17.3217,-20.9457,152.2747
1.9256,-17.7923,-21.8949,151.1767
1.9482,-16.0091,-21.5152,152.6856
1.9730,-15.1385,-21.6832,153.0990
1.9973,-16.4395,-20.1167,153.5511
2.0214,-15.8989,-20.7866,153.3642
2.0450,-16.6319,-21.2709,152.4777
2.0707,-18.4265,-20.0071,152.2380
2.0957,-15.8275,-20.1120,153.9669
2.1216,-15.7491,-21.9384,152.4969
2.1470,-16.3188,-23.3541,150.9289
2.1703,-16.2827,-19.5664,154.1020
2.1955,-16.1852,-20.0026,153.8161
2.2183,-15.7668,-22.5766,151.9432
2.2446,-16.4180,-22.1292,151.9045
2.2716,-17.0665,-18.5787,154.3307
2.2996,-16.1189,-20.9109,153.1163
2.3256,-15.7818,-23.9453,150.7536
2.3518,-16.1441,-22.6547,151.6372
2.3771,-16.2677,-19.2450,154.3695
2.4055,-17.8967,-19.8425,152.7498
2.4329,-16.5173,-23.4732,150.7005
2.4593,-15.7881,-22.4182,152.0648
2.4854,-16.5880,-18.9541,154.3774
2.5148,-15.3323,-20.8087,153.7139
2.5409,-17.5849,-21.1646,151.9153
2.5662,-15.7958,-22.9344,151.6187
2.5887,-17.8692,-20.9792,151.8665
2.6137,-16.2358,-20.7949,153.1344
2.6371,-15.1877,-20.4001,154.1480
2.6618,-16.4739,-23.2444,150.9239
2.6853,-17.3268,-21.7080,151.6488
2.7129,-16.3721,-19.1116,154.4036
2.7389,-16.6735,-20.9049,152.7505
2.7654,-16.2442,-22.7020,151.5329
2.7897,-15.7809,-24.0367,150.6746
2.8166,-14.7278,-21.3214,153.6623
2.8455,-14.1111,-21.5521,153.8393
2.8722,-14.9295,-22.0237,152.9374
2.9004,-13.8356,-25.3605,150.6234
2.9281,-15.0156,-19.0341,155.3853
2.9553,-15.0427,-19.9192,154.6409
2.9819,-17.8936,-22.2774,150.7929
3.0084,-18.8859,-24.4501,148.3022
3.0348,-18.1378,-23.7098,149.4343
3.0642,-14.4518,-24.4368,151.1095
3.0925,-17.1027,-28.1830,146.1951
3.1195,-14.8142,-26.2369,149.2897
3.1458,-14.7773,-20.0091,154.7369
3.1716,-10.7177,-22.0542,155.2276
3.1977,-11.7175,-27.5701,149.6402
3.2252,-11.3059,-25.7642,151.5212
3.2526,-11.9903,-22.2692,154.3948
3.2792,-14.6236,-24.1044,151.3057
3.3062,-15.5013,-26.5535,148.6119
3.3356,-15.6469,-23.2440,151.4448
3.3618,-15.0847,-20.2050,154.3766
3.3877,-14.4795,-21.8406,153.3691
3.4138,-14.6621,-23.6809,151.6571
3.4385,-14.3671,-29.0202,146.9826
3.4662,-15.9956,-35.3652,140.1308
3.4897,-16.1841,-37.2369,138.2241
3.5157,-16.4134,-33.7020,141.4880
3.5398,-18.8421,-26.0629,146.9556
3.5662,-21.0384,-27.7756,143.9668
3.5908,-18.9676,-31.1226,142.3689
3.6172,-18.3463,-34.9127,139.2189
3.6444,-17.0697,-36.1677,138.7671
3.6715,-17.7461,-33.7748,140.6539
3.6997,-15.7241,-37.8543,137.8685
3.7293,-14.4258,-40.6852,135.7426
3.7587,-16.9795,-39.2103,135.8643
3.7861,-14.8233,-40.1906,136.0369
3.8152,-13.7297,-44.6510,132.1166
3.8450,-10.2477,-48.2043,129.9631
3.8742,-8.7010,-45.7456,132.9415
3.9186,-8.0115,-44.2822,134.6047
3.9442,-4.9326,-49.9676,129.6018
3.9675,-6.3414,-54.0230,125.2387
3.9917,-8.8724,-54.7119,123.8291
4.0136,-6.1615,-57.6689,121.5962
4.0386,-4.2574,-56.1245,123.5335
4.0616,-10.5941,-58.8139,118.9524
4.0868,-9.1447,-60.6685,117.6045
4.1106,-9.1419,-60.2716,118.0179
4.1352,-10.5941,-61.0098,116.6434
4.1597,-7.9845,-60.7403,117.9444
4.1840,-7.6665,-61.8773,116.8777
4.2070,-5.2749,-66.2972,113.0378
4.2318,-6.4901,-66.1360,112.8584
4.2556,-5.2086,-64.0652,115.3294
4.2784,-5.1645,-60.9385,118.5114
4.3029,-2.4993,-58.5478,121.3296
4.3256,-9.4650,-71.9650,105.2073
4.3617,-6.1588,-73.9981,104.7106
4.3891,-4.6709,-74.2823,104.9733
4.4159,-6.8257,-70.7972,107.8598
4.4428,-0.4262,-73.8339,106.1602
4.4686,-1.1847,-80.7942,99.1280
4.4959,-1.3690,-82.7261,97.1426
4.5201,-3.6731,-80.2878,98.9783
4.5453,-1.2990,-81.8979,97.9959
4.5689,2.0508,-83.1392,96.5443
4.5935,1.4084,-81.2740,98.6098
4.6173,2.2242,-78.9661,100.8019
4.6423,-0.3975,-80.8634,99.1278
4.6659,0.8858,-82.3807,97.5670
4.6906,-3.2306,-84.2967,94.6951
4.7131,0.0125,-88.7615,88.7616
4.7382,-3.6270,-85.8468,92.0206
4.7617,-0.7922,-88.4529,91.3288
4.7867,-0.1578,-89.1041,89.1181
4.8122,0.0000,-85.7554,85.7554
4.8365,2.7591,-86.0489,87.1740
4.8614,2.5099,-86.3263,87.3191
4.8842,-0.5559,-87.6821,87.7498
4.9087,1.3845,-84.5387,84.7182
4.9325,2.1292,-85.4145,85.9407
4.9574,3.0062,-85.7467,86.9938
4.9823,3.7879,-85.6521,87.8686
5.0079,0.5187,-84.7810,84.8070
5.0327,1.9778,-85.8671,86.3725
5.0563,2.1427,-84.1913,84.6034
5.0812,1.5856,-83.4245,83.6202
5.1041,0.7149,-83.6121,83.6526
5.1284,0.4049,-83.8545,83.8680
5.1519,0.7104,-82.0390,82.0711
5.1769,1.5294,-82.3755,82.5323
5.2007,2.7681,-83.1095,83.6949
5.2257,2.3149,-82.7280,83.1100
5.2508,0.0131,-81.9272,81.9272
5.2761,0.8519,-83.4069,83.4626
5.3007,1.5183,-83.4174,83.5964
5.3244,1.3888,-82.7785,82.9147
5.3487,-1.1426,-81.8407,81.9221
5.3751,-3.9960,-80.5818,81.4855
5.4003,-1.8521,-83.1955,83.4547
5.4239,1.8591,-86.9869,87.6297
5.4492,-1.3700,-87.3113,87.6870
5.4725,6.1029,-83.3079,87.2648
5.4975,2.1491,-85.6565,86.2272
5.5189,-1.7148,-86.8858,87.4012
5.5417,0.5829,-88.9970,89.1838
5.5735,1.2097,-87.0203,92.7227
5.5999,0.5885,-89.4009,90.1123
5.6256,-2.4147,-86.7246,87.7882
5.6512,-1.8198,-87.1530,92.1888
5.6780,2.9663,-84.1635,95.0220
5.7025,3.5623,-79.9695,99.3644
5.7294,2.3400,-82.7066,96.9039
5.7566,-3.5917,-83.5204,95.3859
