time,acceleration x,acceleration y,acceleration z,gyroscope x,gyroscope y,gyroscope z
0.0130,2.7031,0.1245,-9.9144,0.0032,-0.0106,0.2366
0.0264,2.6743,0.0790,-9.8258,0.0037,-0.0099,0.1908
0.0395,2.6384,0.1724,-9.6774,0.0050,-0.0121,0.2824
0.0529,2.7246,0.0838,-9.8330,0.0046,-0.0113,0.0840
0.0666,2.6288,0.0838,-9.9479,0.0054,-0.0116,0.3359
0.0806,2.7054,0.1365,-9.8186,0.0038,-0.0132,-0.0458
0.0946,2.7007,0.1508,-9.7683,0.0044,-0.0138,0.0611
0.1083,2.6959,0.1077,-9.6558,0.0037,-0.0097,0.3664
0.1221,2.6408,0.1053,-9.7659,0.0031,-0.0114,0.2977
0.1361,2.6288,0.1317,-9.8426,0.0037,-0.0106,0.0840
0.1500,2.6600,0.1484,-9.8881,0.0033,-0.0112,0.1527
0.1636,2.7102,0.1006,-9.8569,0.0047,-0.0111,0.1374
0.1781,2.6743,0.0694,-9.7875,0.0034,-0.0120,0.3053
0.1927,2.6959,0.0934,-9.6989,0.0040,-0.0125,0.2214
0.2067,2.6935,0.1030,-9.8114,0.0023,-0.0124,0.1756
0.2212,2.7390,0.0934,-9.8186,0.0031,-0.0121,1.9160
0.2348,2.7102,0.0000,-9.8258,0.0040,-0.0133,0.2214
0.2526,2.6312,0.0096,-9.8186,0.0031,-0.0115,0.2672
0.2715,2.6624,0.1006,-9.8689,0.0055,-0.0110,0.2366
0.2900,2.6671,0.0646,-9.8114,0.0026,-0.0115,0.1603
0.3082,2.6695,0.1245,-9.6917,0.0037,-0.0107,0.2290
0.3268,2.6935,0.0024,-9.7899,0.0043,-0.0132,0.2748
0.3452,2.6935,0.1077,-9.7827,0.0023,-0.0118,0.1145
0.3636,2.6959,0.1413,-9.7276,0.0031,-0.0110,0.2290
0.3819,2.6863,0.1221,-9.7205,0.0031,-0.0127,0.2061
0.4005,2.6480,0.1341,-9.9359,0.0047,-0.0111,0.1985
0.4195,2.6432,0.0958,-9.7995,0.0027,-0.0119,0.2519
0.4380,2.6169,0.0910,-9.8378,0.0054,-0.0118,0.3740
0.4569,2.7390,0.1413,-9.8593,0.0040,-0.0114,0.2443
0.4760,2.6576,0.1101,-9.6941,0.0041,-0.0111,0.2824
0.4946,2.6743,0.1101,-9.6750,0.0046,-0.0130,0.2824
0.5136,2.7198,0.1125,-9.7755,0.0040,-0.0113,0.2214
0.5325,2.7318,0.0072,-9.8497,0.0027,-0.0112,0.1985
0.5517,2.7150,0.0144,-9.7899,0.0039,-0.0104,0.1145
0.5701,2.6695,0.2777,-9.7827,0.0048,-0.0126,0.3053
0.5883,2.7054,0.1460,-9.7612,0.0045,-0.0110,0.1221
0.6060,2.7342,0.0910,-9.8234,0.0042,-0.0115,0.1374
0.6244,2.6456,0.0862,-9.6750,0.0037,-0.0118,0.1832
0.6431,2.6671,0.2993,-9.8378,0.0048,-0.0117,0.1985
0.6619,2.7150,0.0790,-9.7995,0.0044,-0.0122,0.2824
0.6807,2.6576,0.1341,-9.7588,0.0032,-0.0112,0.1603
0.6991,2.6887,0.1245,-9.8162,0.0031,-0.0118,0.1450
0.7179,2.6935,0.1437,-9.8066,0.0043,-0.0110,0.1298
0.7365,2.6504,0.0694,-9.8090,0.0044,-0.0137,0.2214
0.7554,2.6743,0.1077,-9.9072,0.0029,-0.0121,0.1603
0.7740,2.6935,0.0958,-9.7803,0.0040,-0.0113,0.2748
0.7927,2.6600,0.2873,-9.7659,0.0055,-0.0131,0.3282
0.8120,2.6839,0.0503,-9.7372,0.0048,-0.0120,0.3664
0.8303,2.6863,0.1365,-9.7899,0.0038,-0.0111,0.2137
0.8500,2.6264,0.1389,-9.8043,0.0045,-0.0122,0.1298
0.8678,2.6839,0.1604,-9.8282,0.0048,-0.0115,0.3359
0.8863,2.6767,0.1365,-9.7636,0.0029,-0.0116,0.1450
0.9045,2.7054,0.0742,-9.7588,0.0029,-0.0111,0.1221
0.9224,2.7270,0.1053,-9.9575,0.0045,-0.0114,0.2977
0.9412,2.6600,0.1341,-9.9216,0.0052,-0.0139,0.0000
0.9591,2.6983,0.1077,-9.9599,0.0024,-0.0132,0.1985
0.9776,2.7078,0.1245,-9.7995,0.0039,-0.0129,0.1908
0.9960,2.6767,0.1173,-9.6845,0.0052,-0.0119,0.2595
1.0149,2.6671,0.1006,-9.7971,0.0033,-0.0125,0.1298
1.0335,2.6983,0.1149,-9.8569,0.0044,-0.0114,0.2366
1.0527,2.4565,0.1006,-9.9000,0.0042,-0.0115,0.2901
1.0711,2.6336,0.1197,-9.8665,0.0037,-0.0125,0.0916
1.0904,2.6911,0.1604,-9.6798,0.0037,-0.0105,0.0992
1.1091,2.7198,0.0910,-9.7779,0.0033,-0.0135,0.2290
1.1288,2.6647,0.1604,-9.7276,0.0043,-0.0120,0.1374
1.1479,2.6073,0.0958,-9.9216,0.0044,-0.0127,0.1756
1.1678,2.6791,0.0024,-9.8569,0.0036,-0.0117,0.2290
1.1876,2.6887,0.1197,-9.7061,0.0027,-0.0120,0.2901
1.2068,2.7222,0.0048,-9.8497,0.0033,-0.0113,0.2061
1.2261,2.7078,0.0982,-9.7683,0.0045,-0.0130,0.1603
1.2451,2.6815,0.0335,-9.7875,0.0043,-0.0113,0.0992
1.2650,2.6839,0.1173,-9.7731,0.0034,-0.0111,0.0992
1.2834,2.7031,0.1173,-9.8330,0.0046,-0.0109,0.1603
1.3043,2.7078,0.1197,-9.7731,0.0039,-0.0111,0.2824
1.3229,2.7294,0.1437,-9.9096,0.0051,-0.0107,0.3740
1.3413,2.8850,0.1125,-9.8114,0.0039,-0.0120,0.1298
1.3596,2.6815,0.1101,-9.8162,0.0038,-0.0118,0.2290
1.3783,2.6911,0.0311,-9.8306,0.0032,-0.0117,0.0763
1.3969,2.7246,0.0551,-9.8234,0.0042,-0.0115,0.1832
1.4204,2.7031,0.2801,-9.8258,0.0036,-0.0113,0.0458
1.4386,2.6911,0.1484,-9.7971,0.0043,-0.0125,0.0840
1.4564,2.6480,0.1006,-9.9240,0.0031,-0.0124,0.2290
1.4748,2.5426,0.1269,-9.7157,0.0043,-0.0115,0.1832
1.4937,2.6983,0.1508,-10.1035,0.0043,-0.0117,0.1679
1.5130,2.7174,0.2562,-9.8737,0.0044,-0.0123,0.2748
1.5320,2.7294,0.0886,-9.9575,0.0040,-0.0121,0.1450
1.5512,2.7150,0.1484,-9.9240,0.0034,-0.0102,0.2366
1.5702,2.7102,0.1030,-9.8019,0.0037,-0.0113,0.1450
1.5892,2.6528,0.0934,-9.8761,0.0054,-0.0113,0.1450
1.6084,2.6624,0.1341,-9.9240,0.0031,-0.0104,0.1145
1.6275,2.6743,0.1413,-9.9144,0.0031,-0.0110,0.2901
1.6473,2.6504,0.1221,-9.6702,0.0042,-0.0119,0.3435
1.6657,2.6791,0.1030,-9.8402,0.0037,-0.0119,0.1832
1.6849,2.6145,0.2969,-9.7013,0.0040,-0.0115,0.0840
1.7033,2.7031,0.1341,-9.9479,0.0039,-0.0114,0.1832
1.7218,2.6839,0.3041,-9.7971,0.0039,-0.0117,-0.0229
1.7405,2.6671,0.2873,-9.7252,0.0048,-0.0133,0.2443
1.7600,2.7031,0.0742,-9.8258,0.0036,-0.0104,0.1985
1.7787,2.7629,0.1197,-9.8378,0.0052,-0.0110,0.1832
1.7983,2.6935,0.1437,-9.7731,0.0036,-0.0114,0.0992
1.8170,2.6863,0.1604,-9.7468,0.0041,-0.0128,0.1908
1.8355,2.6576,0.2993,-9.8785,0.0044,-0.0107,0.2595
1.8542,2.6432,0.0862,-9.8904,0.0032,-0.0126,0.2214
1.8734,2.6695,0.1197,-9.9335,0.0048,-0.0112,0.2214
1.8923,2.6480,0.1101,-9.6917,0.0046,-0.0122,0.0916
1.9113,2.6911,0.1149,-9.7947,0.0041,-0.0122,0.2366
1.9299,2.6456,0.0982,-9.7540,0.0043,-0.0107,0.2061
1.9485,2.6336,0.1077,-9.7085,0.0043,-0.0128,0.1221
1.9669,2.6504,0.2777,-9.7851,0.0040,-0.0124,0.1985
1.9858,2.6360,0.0862,-9.7324,0.0032,-0.0128,0.1908
2.0049,2.7007,0.1508,-9.7923,0.0038,-0.0119,0.2824
2.0237,2.6624,0.2682,-9.6750,0.0041,-0.0117,0.1985
2.0427,2.6935,0.0527,-9.8426,0.0025,-0.0122,0.1832
2.0622,2.6935,0.1006,-9.8114,0.0035,-0.0131,0.2061
2.0818,2.6312,0.1030,-9.7037,0.0031,-0.0116,0.1679
2.1016,2.7126,0.1101,-9.8928,0.0031,-0.0111,0.2137
2.1203,2.6504,0.0144,-9.9072,0.0055,-0.0117,0.1374
2.1405,2.6576,0.0383,-9.7085,0.0032,-0.0111,0.2061
2.1592,2.7557,0.1389,-9.8569,0.0028,-0.0124,0.2137
2.1774,2.6169,0.1389,-9.7755,0.0045,-0.0116,0.1298
2.1967,2.6528,0.1245,-9.6774,0.0033,-0.0114,0.2901
2.2151,2.7438,0.1149,-9.8043,0.0031,-0.0118,0.1985
2.2340,2.6671,0.1077,-9.8282,0.0032,-0.0123,0.0992
2.2530,2.6647,0.0694,-9.9599,0.0043,-0.0117,0.1450
2.2718,2.6576,0.1245,-9.8737,0.0044,-0.0117,0.0916
2.2933,2.7294,0.0503,-9.7588,0.0045,-0.0114,0.1832
2.3122,2.7414,0.0958,-9.8043,0.0043,-0.0124,0.1679
