time,roll,pitch
5.0191,-15.2219,-20.5936
5.0287,-15.4246,-19.2247
5.0383,-17.0505,-18.1444
5.0469,-17.0448,-19.6202
5.0569,-15.8919,-21.1517
5.0668,-15.0239,-21.8658
5.0759,-15.9932,-20.9840
5.0855,-15.9993,-19.9210
5.0939,-16.9386,-17.8958
5.1038,-17.7737,-18.3854
5.1139,-17.3838,-22.4829
5.1224,-17.5567,-24.2792
5.1325,-16.6658,-22.2919
5.1419,-15.7204,-22.5096
5.1646,-16.4850,-18.7698
5.1733,-16.2133,-19.7819
5.1836,-15.5275,-20.8871
5.1933,-15.4915,-20.6295
5.2025,-15.5151,-21.4607
5.2223,-15.9742,-20.4768
5.2310,-17.4625,-19.6734
5.2405,-16.4503,-19.4303
5.2505,-15.6353,-20.2142
5.2591,-15.7676,-19.3992
5.2691,-16.7205,-18.9094
5.2781,-17.6847,-19.1846
5.2875,-17.8885,-20.7580
5.2978,-16.2363,-21.8634
5.3066,-14.8556,-22.1484
5.3163,-15.9721,-21.0913
5.3260,-17.3452,-18.7747
5.3357,-18.5203,-19.2349
5.3450,-16.5649,-20.6139
5.3534,-15.3495,-21.2316
5.3632,-14.7619,-21.9878
5.3729,-15.4362,-21.4489
5.3826,-17.1739,-22.3593
5.3932,-16.1798,-22.2313
5.4020,-14.9128,-23.3888
5.4117,-14.8303,-20.9407
5.4222,-15.4659,-18.4764
5.4319,-16.9797,-20.3412
5.4418,-18.1361,-19.7136
5.4506,-16.9236,-21.4258
5.4607,-15.9756,-21.2934
5.4708,-15.6357,-20.0916
5.4794,-15.8590,-19.3182
5.4894,-17.0768,-21.8163
5.4987,-17.2600,-21.4313
5.5084,-15.5425,-22.4507
5.5184,-16.3074,-21.7204
5.5272,-16.4563,-19.7920
5.5371,-16.5072,-18.9294
5.5463,-15.5332,-18.4246
5.5557,-15.6230,-20.4369
5.5653,-15.0505,-21.6478
5.5739,-14.6638,-21.6055
5.5834,-15.2808,-22.1871
5.5936,-16.4465,-22.6061
5.6030,-17.2795,-21.5054
5.6124,-17.5580,-21.6760
5.6217,-17.7777,-21.6096
5.6315,-17.5374,-21.0240
5.6412,-16.8964,-21.7127
5.6499,-15.7897,-21.5942
5.6601,-15.3190,-21.7197
5.6694,-15.0356,-21.4945
5.6790,-15.4353,-21.1394
5.6888,-15.4142,-20.5461
5.6975,-15.8514,-19.9986
5.7071,-15.7379,-20.9660
5.7169,-16.2594,-21.0238
5.7262,-16.2600,-20.6772
5.7359,-16.0367,-21.4360
5.7445,-16.1125,-21.6778
5.7546,-17.1981,-20.3120
5.7646,-18.0101,-18.8556
5.7741,-17.4240,-19.4484
5.7839,-16.8614,-19.5890
5.7928,-16.2496,-19.6324
5.8022,-16.1860,-20.9037
5.8123,-16.1583,-21.9693
5.8210,-15.9043,-22.3428
5.8305,-15.9382,-22.9398
5.8412,-15.5939,-23.4715
5.8510,-15.8360,-22.4081
5.8610,-16.9392,-20.9623
5.8697,-16.7957,-18.7804
5.8798,-16.1506,-20.2206
5.8899,-16.4147,-19.7300
5.8998,-16.1052,-20.4882
5.9099,-16.1330,-22.0090
5.9184,-15.9549,-22.4757
5.9279,-16.3587,-22.7082
5.9379,-16.2765,-22.1450
5.9476,-16.2910,-22.3361
5.9573,-17.4149,-20.0969
5.9663,-16.5888,-18.3423
5.9767,-16.1433,-20.0780
5.9871,-16.5413,-18.6107
5.9958,-16.3735,-20.4921
6.0060,-16.0406,-20.6920
6.0164,-15.8390,-22.0325
6.0258,-15.5820,-22.8847
6.0354,-15.6190,-24.0047
6.0457,-16.3876,-20.4671
6.0556,-16.1684,-23.1991
6.0651,-15.5990,-21.9042
6.0736,-15.6379,-20.1898
6.0830,-16.4432,-18.7039
6.0926,-16.7512,-20.6984
6.1012,-16.8267,-19.2745
6.1116,-17.1789,-20.5513
6.1224,-16.6753,-20.7685
6.1322,-16.2003,-23.1977
6.1424,-16.8356,-23.2319
6.1533,-16.0468,-22.4766
6.1630,-14.8477,-19.4302
6.1731,-16.5344,-20.4476
6.1819,-16.5890,-20.2134
6.1922,-15.4695,-16.8784
6.2016,-14.9764,-21.0898
6.2106,-15.1432,-22.3376
6.2206,-15.1258,-21.6187
6.2316,-15.8977,-22.5407
6.2411,-17.0729,-21.4014
6.2509,-17.6638,-21.7567
6.2611,-16.7871,-22.5726
6.2710,-15.7609,-22.3809
6.2804,-16.1809,-22.4665
6.2889,-17.3349,-21.2432
6.2986,-16.6693,-21.4583
6.3083,-16.9372,-19.9642
6.3179,-15.9490,-21.6811
6.3280,-14.9203,-21.3762
6.3369,-14.9595,-20.8651
6.3465,-15.4855,-20.9212
6.3567,-15.5466,-22.7097
6.3662,-16.8965,-22.8621
6.3762,-16.0527,-21.7627
6.3852,-15.1537,-22.1930
